Candidate Name,Party,Status,State,Constituency
VINOD NAMDEO SONAWANE,Independent,Applied,Maharashtra,MUKTAINAGAR
NARENDRA NATTHUJI WALDE,Bahujan Samaj Party,Applied,Maharashtra,NAGPUR WEST
HARISHCHANDRA PATILBUWA PACHPUTE,Independent,Applied,Maharashtra,SHRIGONDA
SANJAY RAMCHANDRA KAMBALE,Independent,Applied,Maharashtra,UMARGA
ARCHANA RANAJAGJITSINHA PATIL,Independent,Applied,Maharashtra,OSMANABAD
DR. RAHUL KALIDAS MESHRAM,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,BRAHMAPURI
MUKINDAR GANGADHAR KUDKE,Independent,Applied,Maharashtra,DEGLUR
AMAR MANOHAR BADHE,Independent,Applied,Maharashtra,MUKTAINAGAR
KARUNA MUNDE,Swarajya Shakti Sena,Applied,Maharashtra,BEED
MOHAN ANANDRAO DESHMUKH,Independent,Rejected,Maharashtra,PHULAMBRI
DATTA BANSI JADHAV,Independent,Applied,Maharashtra,PUNE CANTONMENT
SHRI VISHWAS CHANDRABHAN PATIL,Independent,Applied,Maharashtra,NAGPUR NORTH
RAJENDRA SURESH PADGHAN,Aabaad Party,Applied,Maharashtra,CHIKHLI
VIJAYKUMAR BHAGWANRAO PETHKAR,Rashtriya Samaj Paksha,Applied,Maharashtra,MUKHED
POOJA MAHESH LANDGE,Bharatiya Janata Party,Applied,Maharashtra,BHOSARI
KSHIRSAGAR YOGESH BHARATBHUSHAN,Nationalist Congress Party,Applied,Maharashtra,BEED
RAJESH BABARAO BHOYAR,Independent,Applied,Maharashtra,DHAMANGAON RAILWAY
SACHIN DHANRAJ KOKANE,Independent,Applied,Maharashtra,MURTIZAPUR
VISHRANTI PARMESHWAR JHAMBARE,Bahujan Republican  Socialist Party,Applied,Maharashtra,NAGPUR SOUTH
PRAMOD BALIRAM PATIL,Independent,Applied,Maharashtra,JALGAON CITY
CHAUDHARI NANDINI ANIL,Independent,Applied,Maharashtra,RAVER
DAULAT BABAN JADHAV,Peace Party,Applied,Maharashtra,KURLA
KSHIRSAGAR YOGESH BHARATBHUSHAN,Nationalist Congress Party,Applied,Maharashtra,BEED
MOHAN ANANDRAO DESHMUKH,Independent,Accepted,Maharashtra,PHULAMBRI
SHIVPRASAD LAKSHMANRAO KAJALE,Marathwada Mukti Morcha,Applied,Maharashtra,UMARGA
SAGAR PRABHAKAR PATIL,Independent,Applied,Maharashtra,MUKTAINAGAR
BALAJI PRALHAD KINIKAR,Shiv Sena,Applied,Maharashtra,AMBERNATH
SABIR KHAN SHABBIR KHAN,Independent,Applied,Maharashtra,PACHORA
RAMKISHOR KALURAM JAMBU PATEL,Ambedkarite Party of India,Applied,Maharashtra,MELGHAT
VISHWANATH MAHADEV ALTE,Bahujan Samaj Party,Rejected,Maharashtra,LATUR CITY
DR. VITTHAL KASHINATH KINIKAR,Independent,Applied,Maharashtra,MURBAD
TAUFIQ ALLAUDDIN PATHAN,Independent,Applied,Maharashtra,NASHIK CENTRAL
SAGAR PRABHAKAR PATIL,Independent,Applied,Maharashtra,MUKTAINAGAR
PRAVIN NANA SURWADE,Indian National Congress,Applied,Maharashtra,BHUSAWAL
NATHA SHIVRAM PACHARNE,Bahujan Mukti Party,Applied,Maharashtra,SHIRUR
ASHOK SHIVAJI PAGARE,Independent,Rejected,Maharashtra,KALYAN WEST
SHAFIK MOOHAMMAD SALEH MOHAMMAD SHAIKH,All India Majlis-E-Ittehadul Muslimeen,Applied,Maharashtra,BEED
JIVAN ASHOK GADE,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,DAUND
SK SAYEED SK MUSHTAQE,Independent,Applied,Maharashtra,CHIKHLI
AKASHREDDY NARSAREDDY SATPALWAR,Independent,Applied,Maharashtra,NAIGAON
ISHWAR VILAS TATHAWADE,Independent,Accepted,Maharashtra,DHARAVI
MANGESH NARAYANRAO KADAM,Independent,Applied,Maharashtra,DEGLUR
RIYAZ SAYYAD ALI SAYYAD,All India Majlis-E-Inquilab-E-Millat,Applied,Maharashtra,PUNE CANTONMENT
ABDULLA KHAN DALSHER KHAN,Social Democratic Party Of India,Applied,Maharashtra,MALEGAON CENTRAL
SHAFIK MOOHAMMAD SALEH MOHAMMAD SHAIKH,Independent,Applied,Maharashtra,BEED
SAMADHAN BALIRAM GORE,Peoples Party of India (Democratic),Applied,Maharashtra,LATUR RURAL
SK SAYEED SK MUSHTAQE,Independent,Applied,Maharashtra,CHIKHLI
DNYANESHWAR REVAN VIRKAR,Independent,Applied,Maharashtra,MAN
ANITA GANESH VAIDY,Sardar Vallabhbhai Patel Party,Applied,Maharashtra,GANGAPUR
RAHUL SHANKAR SHIRSAT,Independent,Applied,Maharashtra,BELAPUR
SURYAKANT MARUTI SHINDE,Independent,Applied,Maharashtra,PHALTAN
RAJBALI RAMBARAN SAHANI,Independent,Applied,Maharashtra,DINDOSHI
SUNANDA SHANKAR RASAL,Bahujan Samaj Party,Applied,Maharashtra,UMARGA
DEVANAND TULJIRAM DESHMUKH,Independent,Applied,Maharashtra,MUKHED
PANDHARINATH MAGAN WAGH,Independent,Applied,Maharashtra,PHULAMBRI
DR RAJU URF RAJESH MANIKRAO THAKRE,Independent,Applied,Maharashtra,RAMTEK
VAISHALI KIRAN SURYAWANSHI,Independent,Applied,Maharashtra,PACHORA
DILIP RAOSAHEB KAMBLE,Independent,Applied,Maharashtra,PUNE CANTONMENT
MOHAMMAD KHALID MUKHTAR AHAMAD SHAIKH,Independent,Applied,Maharashtra,BHIWANDI WEST
CHAUDHARI DHIRAJ ANIL,Independent,Applied,Maharashtra,RAVER
NATHA SHIVRAM PACHARNE,Bahujan Mukti Party,Applied,Maharashtra,SHIRUR
AKASHREDDY NARSAREDDY SATPALWAR,Independent,Applied,Maharashtra,NAIGAON
DATTATRAYA VITHAL THORAT,Blue India Party,Applied,Maharashtra,SOLAPUR CITY CENTRAL
RAJENDRA TANAJI SASANE,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,DINDOSHI
RUCHI SACHIN MANCHANDA,Independent,Applied,Maharashtra,ANDHERI WEST
TALHA SHARIF HASAN MOMIN,Indian National Congress,Applied,Maharashtra,BHIWANDI WEST
ASHOK BABURAO JADHAV,Peoples Party of India (Democratic),Applied,Maharashtra,MUKTAINAGAR
BABYNANDA KACHARU SANAP,Rashtriya Samaj Paksha,Applied,Maharashtra,KURLA
MANGESH NARAYANRAO KADAM,Independent,Applied,Maharashtra,DEGLUR
NARSING ISHWARRAO KATKE,Independent,Applied,Maharashtra,PIMPRI
PRAKASH KISAN BALWADKAR,Independent,Applied,Maharashtra,KOTHRUD
NANA SATUJI SIDAM,Independent,Applied,Maharashtra,RALEGAON
NANDKISHOR RAMKRUSHNA DHORE,Independent,Applied,Maharashtra,AKOLA WEST
AHILYABAI HANMANT MAMILWAD,Bahujan Samaj Party,Applied,Maharashtra,MUKHED
ADV. NARAYANRAO DINBAJI JAMBHULE,Swabhimani Paksha,Applied,Maharashtra,BRAHMAPURI
SWAPNIL SUDHAKAR INGALE,Sambhaji Brigade Party,Applied,Maharashtra,NASHIK CENTRAL
SHIVAJI KISAN KURHADE,Rashtriya Samaj Paksha,Applied,Maharashtra,SHIRUR
TALHA SHARIF HASAN MOMIN,Independent,Applied,Maharashtra,BHIWANDI WEST
RAVINDRA JAITU SONAWANE,Independent,Applied,Maharashtra,MURBAD
SAGAR BHIMRAO SALUNKE,Independent,Applied,Maharashtra,JALGAON CITY
FIROZ KHA PATHAN,All India Majlis-E-Inquilab-E-Millat,Applied,Maharashtra,DHAMANGAON RAILWAY
ANIL BHAGWAT GOYKAR,New Rashtriya Samaj Party,Applied,Maharashtra,LATUR RURAL
PRAFULLA SHARDA NARAYAN MHATRE,Maharashtra Rajya Samiti,Applied,Maharashtra,BELAPUR
ADV. NARAYANRAO DINBAJI JAMBHULE,Swabhimani Paksha,Applied,Maharashtra,BRAHMAPURI
PANDAGALE SURESH RAM,Bahujan Vikas Aaghadi,Accepted,Maharashtra,KALYAN WEST
NANA SATUJI SIDAM,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,RALEGAON
DATTU VITHOBA HIRALE,Independent,Applied,Maharashtra,UMARGA
SUNIL JANRAO WANKHADE,Independent,Applied,Maharashtra,MURTIZAPUR
SANJAY NIRUPAM,Shiv Sena,Applied,Maharashtra,DINDOSHI
HARIBHAU TUKARAM PATIL,Independent,Applied,Maharashtra,PACHORA
SANTOSH UDDHAVRAO BHADIKAR,Independent,Applied,Maharashtra,WANI
HARIBHAU TUKARAM PATIL,Independent,Applied,Maharashtra,PACHORA
MAHESH ASHOKRAO GADRE,Independent,Applied,Maharashtra,ARVI
RAKESH HARGULAL WALMIKI,Independent,Applied,Maharashtra,PUNE CANTONMENT
VINOD BHAIYYALAL BHILAWEKAR,Independent,Applied,Maharashtra,MELGHAT
JAYASHRI AMOL JAWALE,Bharatiya Janata Party,Applied,Maharashtra,RAVER
NARAYAN TATOBA KALEL,Independent,Applied,Maharashtra,MAN
MANOJ SARANGDHAR LAHUDKAR,Independent,Applied,Maharashtra,CHIKHLI
KARBHARI SALUBA JADHAV,Independent,Applied,Maharashtra,GANGAPUR
ANIL BHAGWAT GOYKAR,Janhit Lokshahi Party,Applied,Maharashtra,LATUR RURAL
RAHUL RAJU NAVANDE,Prahar Janshakti Party,Applied,Maharashtra,MUKHED
JAYASHRI AMOL JAWALE,Bharatiya Janata Party,Applied,Maharashtra,RAVER
ANOMDARSHRI UDDHAVRAO BHAISARE,Bahujan Samaj Party,Applied,Maharashtra,WARDHA
KONALE BALAJI EKNATHRAO,Independent,Applied,Maharashtra,UMARGA
NAGESH VITTHAL NARALE,Independent,Applied,Maharashtra,MAN
ADV DHANANJAY SUBRAO DHABEKAR,Independent,Applied,Maharashtra,OSMANABAD
SANJAY SUBHASH KUMRE,Bahujan Samaj Party,Applied,Maharashtra,GADCHIROLI
LAXMAN GANPAT YEMALWAR,Independent,Applied,Maharashtra,NANDED SOUTH
